station_id,province,district,name,network,operator,lat,lon,plug_count,gun_count,max_kw,total_site_kw,dc_fast,price_per_kwh,open_hours,status,source_url,verification_status,verification_note,confidence,notes,updated_by,active
phitsanulok_pea_volta_headquarters_001,Phitsanulok,Mueang,PEA VOLTA - PEA Phitsanulok Head Office,PEA VOLTA,PEA,16.823,100.261,,,120,,true,,,open,https://www.pea.co.th/volta,seed_needs_verification,Pin approx at PEA Phitsanulok HQ. Need exact lat/lon + plug count from official map,medium,PEA head office typically has 2-4 DC fast chargers. Verify via PEA VOLTA app,llm_agent,true
phitsanulok_pea_volta_wangthong_002,Phitsanulok,Wang Thong,PEA VOLTA - PEA Wang Thong Office,PEA VOLTA,PEA,16.805,100.441,,,120,,true,,,open,https://www.pea.co.th/volta,seed_needs_verification,Pin approx at PEA Wang Thong office. Verify existence + details,low,Smaller PEA branch — may not have charger. Verify via PEA VOLTA app,llm_agent,true
phitsanulok_pea_volta_bangrakam_003,Phitsanulok,Bang Rakam,PEA VOLTA - PEA Bang Rakam Office,PEA VOLTA,PEA,16.758,100.118,,,120,,true,,,open,https://www.pea.co.th/volta,seed_needs_verification,Pin approx at PEA Bang Rakam office. Verify existence + details,low,Smaller PEA branch — may not have charger. Verify via PEA VOLTA app,llm_agent,true
phitsanulok_evpluz_ptt_bypass_004,Phitsanulok,Mueang,EV Station PluZ - PTT Station Phitsanulok Bypass,EV Station PluZ,PTT OR,16.842,100.286,,,120,,true,,,open,https://evstationpluz.com,seed_needs_verification,PTT station on Highway 12 bypass route. Need exact pin + plug count,medium,PTT on main bypass typically has EV Station PluZ in major cities. Verify via EV Station PluZ app,llm_agent,true
phitsanulok_evpluz_ptt_highway11_005,Phitsanulok,Mueang,EV Station PluZ - PTT Station Highway 11 (Phitsanulok-Uttaradit),EV Station PluZ,PTT OR,16.867,100.298,,,120,,true,,,open,https://evstationpluz.com,seed_needs_verification,PTT station on Highway 11 northbound. Verify exact location,medium,Highway corridor station common for long-distance EV travel. Verify via EV Station PluZ app,llm_agent,true
phitsanulok_evpluz_ptt_nu_006,Phitsanulok,Mueang,EV Station PluZ - PTT Station Naresuan University Area,EV Station PluZ,PTT OR,16.746,100.191,,,120,,true,,,open,https://evstationpluz.com,seed_needs_verification,Approximate near Naresuan University area. Verify location,low,Need confirmation of exact PTT station with charger in this area,llm_agent,true
phitsanulok_evpluz_ptt_highway12_007,Phitsanulok,Mueang,EV Station PluZ - PTT Station Highway 12 (Phitsanulok-Lom Sak),EV Station PluZ,PTT OR,16.783,100.339,,,120,,true,,,open,https://evstationpluz.com,seed_needs_verification,PTT on Highway 12 eastbound toward Lom Sak. Verify exact location,low,Highway route to northeast. Verify via EV Station PluZ app,llm_agent,true
phitsanulok_ptt_ev_central_008,Phitsanulok,Mueang,PTT EV Station - Central Phitsanulok,PTT EV Station,PTT,16.815,100.278,,,50,,true,,,open,https://www.pttplc.com,placeholder_network_level,Approximate near Central Phitsanulok area. Network likely present but exact pin unconfirmed,low,Central area of provincial capital — high probability of charger. Verify via PTT EV app or Google Maps,llm_agent,true
phitsanulok_ea_anywhere_009,Phitsanulok,Mueang,EA Anywhere - Phitsanulok,EA Anywhere,Energy Absolute,16.830,100.270,,,150,,true,,,open,https://www.eaanywhere.com,placeholder_network_level,EA Anywhere typically has stations in provincial capitals. Exact location in Phitsanulok needs verification,low,EA network expanding nationwide. Verify via EA Anywhere app or website,llm_agent,true
phitsanulok_mg_charge_dealer_010,Phitsanulok,Mueang,MG Charge - MG Phitsanulok Dealer,MG Charge,MG,16.837,100.247,,,7,,false,,,open,https://www.mgcars.com,seed_needs_verification,Approximate at MG dealer location on main road. Typically AC charger only,medium,MG dealers usually have 1-2 AC chargers (7 kW). Verify via MG Charge app,llm_agent,true
phitsanulok_rever_dealer_011,Phitsanulok,Mueang,Rever Sharger - BYD/Rever Phitsanulok,Rever Sharger,Rever,16.828,100.254,,,40,,true,,,open,https://reverautomotive.com,seed_needs_verification,Approximate at Rever/BYD dealer location. Verify exact pin + kW,medium,Rever dealers typically have DC fast charger. Verify via Rever Sharger app,llm_agent,true
phitsanulok_evolt_city_012,Phitsanulok,Mueang,EVolt - Phitsanulok City,EVolt,Bangkok Cable,16.822,100.264,,,50,,true,,,open,https://www.evolt.co.th,placeholder_network_level,EVolt network present in many provincial cities. Exact location in Phitsanulok needs verification,low,Partner locations (hotels, malls, etc.). Verify via EVolt app,llm_agent,true
phitsanulok_elexa_013,Phitsanulok,Mueang,EleXA - Phitsanulok (Potential),EleXA,EGAT,16.840,100.280,,,120,,true,,,unknown,https://www.elexa.co.th,placeholder_network_level,EleXA mainly in industrial provinces. Phitsanulok presence uncertain — mark as candidate,low,Low priority — EleXA focuses on Eastern Economic Corridor. Verify via EleXA app,llm_agent,true
